p+0.04_10.9548_0 dE= 0.01202
actual force   predicted force   difference
2864500884968.57617
2702574693852.96924
4788073297286.00781
2088931085948.11938
1981753212950.86865
3718044574418.17480
1865969173710.47803
1867906275432.68677
3326529676352.39014
1737713924215.55420
3398068783524.87305
1737713924215.55518
2450493175752.67725
2283744206327.31201
4264255648145.84082
3168931457160.77881
2964658910963.88721
5103262339771.97559
3625828967528.93359
3430303490272.19189
5522355935014.28320
3873037295334.80518
3617156623489.85156
5599047946686.81250
3918156289850.41602
3590300615436.47607
5599700858385.93750
3693261449470.35205
3404661508326.53027
5545581236238.89355
3180735337059.39453
3039005487465.18359
5149602515612.35742
2486500877921.03711
2472440532196.47705
4259757997622.23682
2621249369883.30127
2538711094607.90137
4470032159627.46777
2450493175752.67725
2283744206327.31396
4264255648145.84082
2607753618212.46240
2671113754587.35693
4671529621836.44922
3273672188553.18701
3138881864325.92334
5195832428586.10449
3802502167293.06885
3616272721136.58838
5464217671610.51562
4171605919347.28662
3857154805337.36621
5456007894482.73633
3904880888960.28711
4294703220747.35254
5415412239452.99121
3795301991373.36475
4099303452972.40625
5494471644404.05273
3529550660518.38379
3646683878336.22070
5447991046968.10059
3039469154401.10010
3113619902015.66797
5055331677626.87012
3270854389611.25879
3110290511721.76904
5295819693985.76270
3168931457160.77979
2964658910963.88623
5103262339771.97656
3273672188553.18701
3138881864325.92334
5195832428586.10449
3416804218370.72363
3622484597520.15576
5452703994598.54199
3844380916452.50244
3966015690680.31445
5546830026809.34668
4168227891782.76855
4313489814528.77490
5390357801088.36523
4249734798256.62744
4627776845354.89160
5158004413343.30371
4196357194774.91064
4455484352331.08105
5272649701319.50391
3921036177827.86572
4079053498972.11377
5471794413415.26172
3446234663383.99512
3692463406010.64404
5484818838080.77344
3676378330839.97461
3436668742560.05078
5603079424517.12695
3625828967528.93359
3430303490272.19141
5522355935014.28320
3802502167293.06885
3616272721136.58740
5464217671610.51660
3844380916452.50244
3966015690680.31299
5546830026809.34668
3957884067652.49951
4234480991821.89355
5590514184144.53027
4228066888373.17529
4394212540016.35107
5455003564193.29980
4419309150877.38477
4621722430801.81152
5167920922766.84961
4353004260914.96777
4786757037132.64844
5003123319180.95898
4072817066937.54980
4421569078332.44922
5321575152965.82910
4039108723552.34131
3669674288195.07959
5542330929153.68066
3808092833741.94092
3570960636416.03027
5638227950829.66016
3873037295334.80420
3617156623489.85352
5599047946686.81250
4171605919347.28613
3857154805337.36621
5456007894482.73535
4168227891782.76953
4313489814528.77539
5390357801088.36621
4228066888373.17627
4394212540016.35156
5455003564193.29980
4189227344419.31299
4489360854449.53320
5476497871670.14941
4302871150531.74365
4486330273812.87988
5393231512420.59961
4336231570874.95166
4501789268634.71191
5267621917496.96191
4072817066937.55078
4421569078332.45020
5321575152965.83008
4092658071372.31934
3742587877638.73242
5520884824823.76367
3714816366816.93457
3523417180103.05225
5627000007773.14258
3918156289850.41650
3590300615436.47656
5599700858385.93750
3904880888960.28760
4294703220747.35498
5415412239452.99316
4249734798256.62744
4627776845354.89160
5158004413343.30176
4419309150877.38477
4621722430801.81250
5167920922766.85059
4302871150531.74268
4486330273812.87793
5393231512420.59863
