5.50193 -0.00006 0.00000
-1.32049 2.33798 1.75874 Ir
-2.16669 0.66669 -4.75000 Ir
-1.16669 2.16669 1.25000 Ir
1.33331 3.16669 1.25000 Ir
0.16669 1.33331 -4.24501 Ir
0.67517 1.84745 -4.24875 Ir
0.17377 1.83331 -4.25000 Ir
-1.66669 0.66669 2.25000 Ir
-1.33331 0.33331 2.75000 Ir
-1.16669 0.66669 2.25000 Ir
-0.16183 2.16832 -3.73920 Ir
-1.66159 0.17486 2.25000 Ir
-1.83331 0.33331 2.75000 Ir
-1.33331 0.83331 2.75000 Ir
-1.83331 0.83331 2.75000 Ir
-0.66435 1.67135 2.25175 Ir
-0.32515 1.33565 2.76224 Ir
-0.16669 1.66669 2.25000 Ir
-0.16669 1.16669 2.25000 Ir
-0.66669 1.16669 2.25000 Ir
-0.83331 1.33331 2.75499 Ir
-0.32685 1.84341 2.75623 Ir
-0.82340 1.83331 2.75000 Ir
0.33331 1.66669 2.25000 Ir
-2.33331 0.33331 2.75000 Ir
-2.16669 0.66669 2.25000 Ir
-2.16183 0.16832 2.25648 Ir
0.34409 1.17814 2.25000 Ir
0.16669 1.33331 2.75000 Ir
0.66669 1.83331 2.75000 Ir
0.16669 1.83331 2.75000 Ir
-1.66610 0.66785 -3.74126 Ir
-0.33798 2.33098 2.75175 Ir
-1.16669 0.66669 -3.75000 Ir
-0.16669 2.16669 2.25000 Ir
-0.66669 2.16669 2.25000 Ir
-1.83331 0.33331 -3.24875 Ir
-1.32584 0.84543 -3.24751 Ir
-1.82340 0.83331 -3.25000 Ir
0.33331 2.66669 2.25000 Ir
0.66669 2.33331 2.75000 Ir
0.83331 2.66669 2.25000 Ir
0.83514 2.16832 2.26296 Ir
0.34144 2.17486 2.25000 Ir
0.16669 2.33331 2.75000 Ir
-0.33331 0.83331 -3.25000 Ir
-0.83331 0.83331 -3.25000 Ir
-1.66610 1.66785 2.25175 Ir
-1.32049 1.33448 2.75874 Ir
-1.16669 1.66669 2.25000 Ir
-1.16669 1.16669 2.25000 Ir
-1.66669 1.16669 2.25000 Ir
-1.83331 1.33331 2.75499 Ir
-1.32118 1.84341 2.75873 Ir
1.17944 2.83331 2.75000 Ir
0.33331 1.66669 -3.75000 Ir
-2.33331 0.33331 -3.25000 Ir
-2.16669 0.66669 -3.75000 Ir
-1.16486 2.16832 2.25864 Ir
0.34106 1.17814 -3.75000 Ir
0.16669 1.33331 -3.25000 Ir
0.66669 1.83331 -3.25000 Ir
0.16669 1.83331 -3.25000 Ir
-0.66610 1.66785 3.25175 Ir
-0.32165 1.33914 3.76224 Ir
-0.16669 1.66669 3.25000 Ir
-0.16669 1.16669 3.25000 Ir
-0.66669 1.16669 3.25000 Ir
-0.83331 1.33331 3.75125 Ir
-0.32887 1.83937 3.75623 Ir
-0.82340 1.83331 3.75000 Ir
0.33331 1.66669 3.25000 Ir
-2.33331 0.33331 3.75000 Ir
-2.16669 0.66669 3.25000 Ir
-1.16486 2.16832 -2.74136 Ir
0.34144 1.17486 3.25000 Ir
0.16669 1.33331 3.75000 Ir
0.66669 1.83331 3.75000 Ir
0.16669 1.83331 3.75000 Ir
-1.66610 0.66785 -2.74825 Ir
-1.32049 0.33798 -2.24126 Ir
-1.16669 0.66669 -2.75000 Ir
-0.16669 2.16669 3.25000 Ir
-0.66669 2.16669 3.25000 Ir
-1.83331 0.33331 -2.24875 Ir
-1.32685 0.84341 -2.24875 Ir
-1.82623 0.83331 -2.25000 Ir
-0.66669 0.66669 -2.75000 Ir
0.66669 2.33331 3.75000 Ir
0.83331 2.66669 3.25000 Ir
0.83514 2.16832 3.25864 Ir
0.34106 2.17814 3.25000 Ir
0.16669 2.33331 3.75000 Ir
-0.33331 0.83331 -2.25000 Ir
-0.83331 0.83331 -2.25000 Ir
-1.66610 1.66785 3.25175 Ir
-1.32515 1.33914 3.76224 Ir
-1.16669 1.66669 3.25000 Ir
-1.16669 1.16669 3.25000 Ir
-1.66669 1.16669 3.25000 Ir
-1.83331 1.33331 3.75249 Ir
-1.32503 1.84139 3.75499 Ir
0.17377 0.83331 -2.25000 Ir
-0.66669 1.66669 4.25000 Ir
-0.33331 1.33331 4.75000 Ir
-0.16669 1.66669 4.25000 Ir
-0.16221 1.17159 4.26296 Ir
-0.65856 1.17486 4.25000 Ir
-0.83331 1.33331 4.75000 Ir
-0.33331 1.83331 4.75000 Ir
-1.83331 -0.16669 -1.25000 Ir
-0.66552 0.66902 -1.74475 Ir
-0.32399 0.33448 -1.24126 Ir
-0.16669 0.66669 -1.75000 Ir
0.83331 2.16669 4.25000 Ir
0.33331 2.16669 4.25000 Ir
-0.83331 0.33331 -1.24751 Ir
-0.32502 0.84139 -1.24751 Ir
-0.82340 0.83331 -1.25000 Ir
-2.66669 -0.33331 -1.75000 Ir
-1.33331 1.33331 4.75000 Ir
-1.16669 1.66669 4.25000 Ir
-1.16221 1.17159 4.26080 Ir
-1.65591 1.17814 4.25000 Ir
-1.83331 1.33331 4.75000 Ir
-2.33331 -0.16669 -1.25000 Ir
0.16669 0.83331 -1.25000 Ir
-2.66552 -0.33098 -0.74475 Ir
-2.32515 -0.66086 -0.23776 Ir
-2.16669 -0.33331 -0.75000 Ir
-1.16669 1.16669 5.25000 Ir
-1.66669 1.16669 5.25000 Ir
-2.83331 -0.66669 -0.24501 Ir
-2.33291 -0.16871 -0.24377 Ir
0.16527 0.83331 -0.25000 Ir
