p-0.04_10.989_0 dE= 0.01070
p+0.04_10.989_0 dE= 0.01084
p-0.04_10.989_1 dE= 0.01127
p+0.04_10.989_1 dE= 0.01124
p_uns_0.2_1000_2887 dE= 0.80617
p_uns_0.2_1000_3535 dE= 3.40470
p_uns_0.2_1000_998 dE= 0.74183
actual force   predicted force   difference
-0.00190 0.00000 -0.00190
0.00234 0.00000 0.00234
-0.00109 0.00000 -0.00109
0.00098 0.00000 0.00098
-0.00077 0.00000 -0.00077
0.00204 -0.00474 0.00678
-0.00153 -0.00928 0.00774
0.00132 0.00869 -0.00737
0.00287 0.00000 0.00287
-0.00044 0.00000 -0.00044
-0.00086 0.00000 -0.00086
-0.00009 0.00000 -0.00009
0.00056 0.00000 0.00056
-0.00214 0.00000 -0.00214
0.00063 0.00000 0.00063
0.00055 0.00000 0.00055
0.00000 0.00000 0.00000
0.00200 0.00000 0.00200
0.00230 0.00000 0.00230
0.00036 0.00000 0.00036
0.00078 0.00000 0.00078
0.00032 0.00000 0.00032
-0.00074 0.00000 -0.00074
0.00285 0.00000 0.00285
-0.00040 0.00000 -0.00040
0.00305 0.00000 0.00305
-0.00042 0.00000 -0.00042
0.00055 0.00000 0.00055
-0.00084 0.00000 -0.00084
-0.00055 -0.00145 0.00090
-0.00134 0.00399 -0.00533
0.00039 -0.00502 0.00541
-0.00573 -0.00686 0.00113
0.03958 0.04103 -0.00145
0.04914 0.05240 -0.00326
-0.00186 0.00497 -0.00683
-0.00324 -0.00004 -0.00320
0.00036 0.00440 -0.00404
0.00755 0.00770 -0.00015
-0.01310 -0.02440 0.01130
0.01697 0.02618 -0.00921
-0.00044 0.00127 -0.00170
0.00708 0.00497 0.00211
0.00052 -0.00047 0.00099
0.04894 0.05681 -0.00787
0.02620 0.02462 0.00158
-0.07447 -0.08987 0.01541
-0.00064 0.00000 -0.00064
-0.00222 0.00000 -0.00222
0.00234 0.00000 0.00234
-0.00058 0.00785 -0.00843
0.00049 0.01519 -0.01469
-0.00091 -0.00623 0.00533
0.00302 0.00000 0.00302
-0.00034 0.00000 -0.00034
-0.00128 0.00000 -0.00128
-0.00225 -0.00141 -0.00085
