p+0.04_10.8241_0 dE= 0.01041
p+0.04_10.8241_1 dE= 0.00879
actual force   predicted force   difference
5366264116688.44531
5140044273609.50098
5505197071897.63672
4701420274432.72656
4531824794055.73633
4356391025239.36328
5894124356012.38770
5944901160211.32227
6242807294205.35742
3667540980818.81055
3382318204504.38037
5020174452095.41504
4972606231669.39746
5253292698827.22070
5280664586692.15430
4522728180095.79395
4344442995275.02686
4268090047704.49561
5722362204794.76270
5960206569897.50000
3397173749658.60449
3277644057602.56543
6276078140692.86133
5163431139109.60938
5129365034414.50391
5424430878793.83496
5530023911095.41797
4775163836658.17285
4573184512470.47266
4453985603303.47363
6085717862666.21777
3774034127696.11426
3603447015500.21143
6225593200168.47461
6642661557479.89258
5475940423087.08887
5435355906210.63574
5397221370923.91895
5678144892509.66406
5952410776959.58008
6042801463713.27832
4971557550907.45605
4669140470584.60547
4352504219023.39453
4055345717995.91992
6453723520158.68262
3685416883198.50391
5719864450791.98242
5760917468973.19727
5551448467266.03125
5405563225200.83594
5927320205274.38477
5998370397218.17285
5284166046106.13770
6225477965873.04980
4847144198032.13574
4263654533549.37744
4137025315836.24219
3915288620952.06982
5767050446971.56250
5767050446971.56152
6055911344935.49121
6055911344935.48828
4036548514235.30225
4036548514235.30518
5707007370582.12207
5320090748677.84570
5414425045570.77637
6035624268738.06641
4849057317767.00000
4332521662195.02246
5719864450791.98242
5760917468973.19629
5551448467266.02539
5405563225200.83398
5927320205274.38184
5998370397218.17285
5284166046106.13770
6225477965873.05078
4847144198032.13477
4263654533549.37695
4137025315836.24170
3915288620952.07080
5435355906210.63867
5397221370923.91992
5475940423087.08887
5678144892509.66602
5952410776959.57910
6042801463713.27734
4971557550907.45898
4669140470584.60547
4352504219023.39453
4055345717995.92236
6453723520158.68359
3685416883198.50586
5129365034414.50391
5163431139109.60840
5530023911095.41797
5424430878793.83594
4775163836658.17383
4573184512470.47266
4453985603303.47266
6085717862666.21484
6225593200168.47461
3774034127696.11523
3603447015500.21143
6642661557479.89648
4972606231669.40039
5020174452095.41797
5253292698827.22363
5280664586692.15723
4522728180095.79590
4344442995275.02783
4268090047704.49658
5722362204794.76367
5960206569897.49707
3397173749658.60449
3277644057602.56543
6276078140692.85938
5505197071897.63770
5366264116688.44629
5140044273609.50293
5277756207796.15527
4701420274432.72852
4531824794055.73633
4356391025239.36572
5894124356012.38672
5944901160211.32520
3667540980818.81055
6242807294205.35547
3382318204504.38037
5782107882668.19727
5789466309407.90430
5640895921624.57617
5423695301396.66797
5420606602458.65723
5937395474653.57520
5061079460572.99219
4722881036618.42578
6294550253277.16602
4382970573905.97070
3967597574213.72510
3692454405214.23047
5551448467266.02637
5760917468973.19727
5719864450791.98340
5405563225200.83398
5927320205274.38770
5284166046106.13965
5998370397218.17285
6225477965873.04980
4847144198032.13574
4263654533549.37695
4137025315836.24561
3915288620952.07031
5782107882668.19922
5789466309407.90430
5420606602458.65723
5423695301396.66992
5640895921624.58008
5937395474653.57812
5061079460572.99414
4722881036618.42480
4382970573905.96973
6294550253277.16211
3967597574213.72852
3692454405214.23291
5366264116688.44727
5277756207796.15723
5505197071897.63770
5140044273609.50000
4701420274432.72754
4531824794055.73535
4356391025239.36572
5894124356012.38379
5944901160211.32617
6242807294205.35449
3667540980818.81201
3382318204504.38037
5020174452095.41895
5280664586692.15723
5253292698827.22461
4972606231669.40039
4522728180095.79590
4344442995275.02734
4268090047704.49463
5722362204794.76172
5960206569897.50098
3397173749658.60547
3277644057602.56934
6276078140692.85938
4714886009231.19336
4736193586345.72754
4842685405751.76074
5045696400728.62012
4349409848008.58936
3898899598560.78809
3816946034552.25488
3628882311890.05615
5296928113352.25293
5390894244276.49512
2355737449392.21143
2375530281966.43359
5657642279462.84180
5657415818146.00684
5620472435859.41211
5044292310118.45801
5118407235574.43652
4975624244791.96387
4691531532926.18652
4153870410920.30664
4188294503039.33350
4097578456896.80713
2988913722080.14404
2669128483484.51025
5366264116688.44629
5277756207796.15723
5140044273609.50195
5505197071897.63770
4701420274432.72949
4531824794055.73633
4356391025239.36621
5894124356012.38477
5944901160211.32520
3667540980818.81299
6242807294205.35742
3382318204504.38037
5435355906210.63770
5475940423087.08887
5397221370923.92090
5678144892509.66797
4971557550907.45703
4669140470584.60547
5952410776959.57812
6042801463713.27734
4352504219023.39258
4055345717995.92334
3685416883198.50586
6453723520158.68164
5140044273609.50195
5277756207796.15723
5366264116688.44531
5505197071897.63867
4701420274432.72754
4531824794055.73633
4356391025239.36426
5894124356012.38477
5944901160211.32520
3667540980818.81055
6242807294205.35742
3382318204504.38135
