p+0.04_10.9562_0 dE= 0.01203
actual force   predicted force   difference
3458862059845.49609
3458862059845.49512
4325650621515.92871
4325650621515.92676
5380406356246.58984
5380406356246.59082
5433453186846.96094
5433453186846.95898
4080955562327.80127
4080955562327.80469
3887939302210.16553
3887939302210.16602
5473400561276.39355
5473400561276.39160
4002024156997.14697
4632077577126.77148
5235379856022.49414
5163022384626.88965
3206333299614.84570
3015560600669.39160
4213462285068.81738
4160510013489.01221
3938730531665.88428
4421042128749.47559
3778576439361.16406
4821768950867.98926
4736193442591.59277
5090968513117.58496
5335213471531.51172
5568143932050.22559
2680387430412.62744
2803859722887.85645
4384585047646.75879
4384585047646.76025
4649350737200.64551
4649350737200.64648
5157869398802.12598
5157869398802.12598
4377115704703.35059
3806410720390.81152
3737000177524.60449
2564827824067.86572
2536815467904.62012
5648508642571.51074
4245114186741.08203
4245114186741.08252
4456194714017.95898
4456194714017.96289
5458828500957.61914
4128862687201.08301
4055125480915.49707
1695855043419.40967
1682001416759.79395
3094791065658.37500
5708051587303.44824
5458828500957.62012
4282549296310.96875
4282549296310.96826
4091544922161.11621
4091544922161.11475
5551146560941.59863
5551146560941.59668
4149107762915.72852
3882792592487.79736
4687554437457.12500
5290964020899.34180
2033192114023.43994
2160779782098.61475
4160510013489.01270
4213462285068.81787
3938730531665.88672
3778576439361.16406
4421042128749.47656
4736193442591.59180
4821768950867.99121
5090968513117.58789
5335213471531.51367
2803859722887.85840
2680387430412.62744
5568143932050.22559
3430262077873.94092
3430262077873.94531
4244335490641.97510
4244335490641.97656
3302938269884.77783
3302938269884.77686
4602561568594.27148
4602561568594.27246
5170673523875.46777
5324606104213.93555
5324606104213.93359
5170673523875.46875
4160510013489.01172
4213462285068.81592
4421042128749.47656
3938730531665.88525
4736193442591.59082
4821768950867.99121
3778576439361.16406
5090968513117.58789
5335213471531.51172
5568143932050.22559
2680387430412.62744
2803859722887.85742
4091544922161.11621
4091544922161.11670
4282549296310.96875
4282549296310.96777
5551146560941.59766
5551146560941.59570
4149107762915.73096
3882792592487.79834
4687554437457.12695
5290964020899.33984
2033192114023.44141
2160779782098.61743
4245114186741.08252
4245114186741.08105
4456194714017.96094
4456194714017.95898
5458828500957.62012
4128862687201.08008
4055125480915.49707
1682001416759.79688
1695855043419.41089
3094791065658.37549
5708051587303.44824
5458828500957.61914
4279807994627.98486
4279807994627.98633
4279807994627.98438
4205504190605.34033
4205504190605.33643
4205504190605.33887
5644568275415.54883
5644568275415.54590
5644568275415.54590
875841691910.27563
875841691910.28772
1730638937729.68799
4245114186741.08008
4245114186741.08252
4456194714017.95898
4456194714017.95898
5458828500957.61816
4128862687201.08398
4055125480915.49854
3094791065658.37256
1695855043419.41040
1682001416759.79614
5708051587303.45020
5458828500957.61621
4384585047646.75879
4384585047646.75732
4649350737200.64355
4649350737200.64551
5157869398802.12793
5157869398802.12598
4377115704703.35059
3806410720390.81445
3737000177524.60596
2536815467904.62012
2564827824067.86670
5648508642571.51172
4753930148480.65430
4753930148480.65527
4936490553656.31836
4936490553656.32031
4513564479108.11230
4513564479108.11719
5244768189008.66309
5244768189008.66602
3287073754117.40576
3231217365915.05664
3287073754117.40820
3231217365915.05908
4384585047646.75830
4649350737200.64746
4649350737200.64551
4384585047646.75732
5157869398802.12402
5157869398802.12695
4377115704703.35010
3806410720390.81396
3737000177524.60547
2564827824067.86719
2536815467904.62256
5648508642571.51172
4245114186741.08105
4456194714017.95898
4456194714017.95703
4245114186741.07910
5458828500957.62012
4128862687201.08350
4055125480915.49707
3094791065658.37549
1695855043419.41382
1682001416759.79858
5708051587303.44531
5458828500957.61914
4279807994627.98584
4279807994627.98633
4279807994627.98438
4205504190605.33984
4205504190605.33789
4205504190605.34033
5644568275415.54590
5644568275415.54395
5644568275415.54297
875841691910.28333
1730638937729.68872
875841691910.29822
4245114186741.08105
4245114186741.08203
4456194714017.95898
4456194714017.96094
5458828500957.61816
5458828500957.61816
4128862687201.08301
4055125480915.49658
1695855043419.39966
1682001416759.79175
3094791065658.37158
5708051587303.45020
4091544922161.11816
4091544922161.11670
4282549296310.96924
4282549296310.96875
5551146560941.59766
5551146560941.59961
4149107762915.73047
3882792592487.79541
4687554437457.12500
5290964020899.34277
2160779782098.61475
2033192114023.44409
4213462285068.81592
4160510013489.01172
4421042128749.47656
3938730531665.88574
4736193442591.58984
4821768950867.99121
3778576439361.16357
5090968513117.58691
5335213471531.51367
2803859722887.85596
2680387430412.62549
5568143932050.22656
4602561568594.27148
4244335490641.97852
4244335490641.97705
5170673523875.46582
5170673523875.46875
3430262077873.94043
3302938269884.77783
3302938269884.77979
5324606104213.93359
5324606104213.93555
4602561568594.27051
3430262077873.94043
4213462285068.81885
4160510013489.01221
4421042128749.47754
3938730531665.88672
4736193442591.58887
4821768950867.99121
3778576439361.16650
5090968513117.58594
5335213471531.51270
2803859722887.85693
5568143932050.22754
2680387430412.62842
4091544922161.11621
4091544922161.11377
4282549296310.96631
4282549296310.96875
5551146560941.59473
4149107762915.72949
3882792592487.79688
4687554437457.12402
5290964020899.34277
2160779782098.61475
2033192114023.44189
5551146560941.59863
4245114186741.08105
4245114186741.08203
4456194714017.95703
4456194714017.95898
5458828500957.62012
5458828500957.62207
4128862687201.08154
4055125480915.49854
1695855043419.40259
1682001416759.79175
3094791065658.37109
5708051587303.45020
4091544922161.11719
4282549296310.96875
4282549296310.96680
4091544922161.11426
5551146560941.59473
5551146560941.59766
4149107762915.72949
3882792592487.79492
4687554437457.12500
5290964020899.34180
2160779782098.61597
2033192114023.44287
4454982776063.47754
4454982776063.47656
4454982776063.47754
3987328102526.32178
3987328102526.32324
3987328102526.32080
5438157677109.36719
5438157677109.36816
5438157677109.36621
4446962397465.56836
2325609037311.75586
2325609037311.75146
3993883631912.98389
3993883631912.98193
4487575211447.60156
4487575211447.60254
5339503259044.78418
5339503259044.78320
4047522824659.48389
3679463845613.01172
5053243986147.85254
2844609423190.39893
2777905930331.72705
5540295883097.13184
4043983345209.36914
4043983345209.36816
3485492267735.11719
3258225072618.69629
3258225072618.69873
3485492267735.11328
4427029968577.22461
4427029968577.22461
5322324405246.99219
5436996190475.13086
5436996190475.13184
5322324405246.98926
3993883631912.98389
3993883631912.98535
4487575211447.60352
4487575211447.60254
5339503259044.78223
5339503259044.78418
4047522824659.48291
3679463845613.01221
5053243986147.85547
2844609423190.39844
2777905930331.72803
5540295883097.13281
4454982776063.47754
4454982776063.47559
4454982776063.47852
3987328102526.32324
3987328102526.32129
3987328102526.32324
5438157677109.36914
5438157677109.36523
5438157677109.36719
4446962397465.57031
2325609037311.75732
2325609037311.75391
4091544922161.11621
4091544922161.11377
4282549296310.96875
4282549296310.96680
5551146560941.59766
5551146560941.59863
4149107762915.72949
3882792592487.79395
4687554437457.12695
5290964020899.34180
2160779782098.61450
2033192114023.43799
4213462285068.81787
4160510013489.01416
4421042128749.47656
3938730531665.88574
4736193442591.59082
4821768950867.99121
3778576439361.16455
5090968513117.58691
5335213471531.51172
2803859722887.85449
2680387430412.62793
5568143932050.22559
3993883631912.98389
3993883631912.98535
4487575211447.60059
4487575211447.60254
5339503259044.78418
5339503259044.78320
4047522824659.48486
3679463845613.01172
5053243986147.85254
2777905930331.72266
2844609423190.39551
5540295883097.13477
4048153884150.17236
4048153884150.17188
3703312428921.23535
3703312428921.23828
5528350285217.86914
5528350285217.87109
