p-0.04_11.0039_0 dE= 0.01105
p+0.04_11.0039_0 dE= 0.01092
actual force   predicted force   difference
-0.00380 -201280053556394843555235889152.00000 201280053556394843555235889152.00000
-0.00460 116366659130834007141669404672.00000 -116366659130834007141669404672.00000
0.00405 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00172 0.00000 -0.00172
0.00099 0.00000 0.00099
0.00122 0.00000 0.00122
0.00395 0.00000 0.00395
-0.00289 0.00000 -0.00289
-0.00404 -1983206247300042197189537214496768.00000 1983206247300042197189537214496768.00000
-0.00409 -199770950755929463129007718400.00000 199770950755929463129007718400.00000
0.00542 115494577337085362358921986048.00000 -115494577337085362358921986048.00000
-0.00437 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.00080 -200107622953258340751312420864.00000 200107622953258340751312420864.00000
-0.00608 115689145369367064320870973440.00000 -115689145369367064320870973440.00000
-0.00133 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
-0.00883 -202085439817962278697450864640.00000 202085439817962278697450864640.00000
-0.01007 116832633578790593082270154752.00000 -116832633578790593082270154752.00000
0.00094 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.03203 -202085390994244043243136221184.00000 202085390994244043243136221184.00000
-0.03951 116832549130661782348653133824.00000 -116832549130661782348653133824.00000
0.00064 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
-0.00096 -201039670838785908954468712448.00000 201039670838785908954468712448.00000
-0.00024 115950807487916465258810572800.00000 -115950807487916465258810572800.00000
-0.00132 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00550 0.00000 -0.00550
0.00548 0.00000 0.00548
-0.00005 0.00000 -0.00005
0.00117 -201039628782062370668377276416.00000 201039628782062370668377276416.00000
-0.00874 115950807512194702346895228928.00000 -115950807512194702346895228928.00000
0.00701 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00448 0.00000 0.00448
-0.00198 0.00000 -0.00198
-0.00404 -1983206247300042197189537214496768.00000 1983206247300042197189537214496768.00000
-0.00674 -199770977071011173165634158592.00000 199770977071011173165634158592.00000
0.00084 115494531695998619267809411072.00000 -115494531695998619267809411072.00000
