p-0.04_10.875_0 dE= 0.01136
p+0.04_10.875_0 dE= 0.01132
p_uns_0.2_1000_998 dE= 0.46542
actual force   predicted force   difference
0.00079 0.00000 0.00079
-0.00076 0.00000 -0.00076
0.00261 0.00000 0.00261
-0.00099 -0.00306 0.00207
0.00161 0.00875 -0.00714
0.00335 0.01030 -0.00695
-0.00042 0.00053 -0.00095
0.00181 0.00134 0.00047
-0.00225 -0.00210 -0.00015
-0.06341 -0.06205 -0.00136
0.04598 0.04207 0.00391
0.07308 0.06701 0.00607
0.00019 0.00000 0.00019
-0.00059 0.00000 -0.00059
0.00213 0.00000 0.00213
0.00452 0.01204 -0.00752
0.00305 0.00545 -0.00241
0.00112 0.00091 0.00020
0.00000 0.00000 0.00000
0.00151 0.00000 0.00151
0.00092 0.00000 0.00092
0.00000 0.00000 0.00000
-0.00078 0.00000 -0.00078
0.00241 0.00000 0.00241
-0.00019 0.00000 -0.00019
-0.00059 0.00000 -0.00059
0.00213 0.00000 0.00213
-0.00452 -0.01203 0.00751
0.00305 0.00544 -0.00239
0.00112 0.00088 0.00023
0.00000 0.00000 0.00000
0.00182 0.00000 0.00182
0.00141 0.00000 0.00141
0.00000 -0.00002 0.00002
0.01923 0.00805 0.01118
0.01812 0.01127 0.00685
-0.00115 -0.00073 -0.00042
-0.00071 -0.00036 -0.00036
-0.00447 -0.00380 -0.00068
0.00335 0.00896 -0.00561
0.00287 0.00172 0.00116
-0.00026 -0.00363 0.00337
0.00115 0.00072 0.00042
-0.00071 -0.00036 -0.00035
-0.00447 -0.00380 -0.00067
-0.00335 -0.00895 0.00560
0.00287 0.00170 0.00117
-0.00026 -0.00365 0.00339
0.00118 0.00000 0.00118
-0.00092 0.00000 -0.00092
0.00243 0.00000 0.00243
-0.00274 0.00000 -0.00274
0.00200 0.00000 0.00200
-0.00200 0.00000 -0.00200
-0.00118 0.00000 -0.00118
-0.00092 0.00000 -0.00092
0.00243 0.00000 0.00243
0.00274 0.00000 0.00274
0.00200 0.00000 0.00200
-0.00200 0.00000 -0.00200
0.00000 0.00001 -0.00001
-0.00034 0.00356 -0.00389
0.02834 0.02861 -0.00028
0.00000 0.00001 -0.00001
-0.00199 -0.00708 0.00509
-0.00987 -0.01126 0.00139
0.00171 0.00138 0.00033
-0.00205 -0.00498 0.00293
-0.00103 0.00033 -0.00136
0.00378 -0.00241 0.00619
-0.00930 -0.00853 -0.00077
0.00057 0.00508 -0.00450
0.00000 0.00000 0.00000
0.00020 0.00000 0.00020
0.00174 0.00000 0.00174
0.00000 0.00000 0.00000
-0.00035 0.00000 -0.00035
-0.00062 0.00000 -0.00062
-0.00171 -0.00138 -0.00033
-0.00205 -0.00498 0.00293
-0.00103 0.00033 -0.00136
-0.00378 0.00241 -0.00619
